player_id,name,team,dob,age_years,age_days,total_points,salary
leverca01,Caris LeVert,Atlanta Hawks,1994-08-25,30,11253,388.0,16615384
capelca01,Clint Capela,Atlanta Hawks,1994-05-18,31,11352,488.0,22265280
plowdda01,Daeqwon Plowden,Atlanta Hawks,1998-08-29,26,9788,43.0,0
barlodo01,Dominick Barlow,Atlanta Hawks,2003-05-26,22,8057,148.0,491887
daniedy01,Dyson Daniels,Atlanta Hawks,2003-03-17,22,8127,1073.0,6059520
mathega01,Garrison Mathews,Atlanta Hawks,1996-10-24,28,10462,353.0,2230253
niangge01,Georges Niang,Atlanta Hawks,1993-06-17,31,11687,339.0,8500000
toppija01,Jacob Toppin,Atlanta Hawks,2000-05-08,25,9170,17.0,0
johnsja05,Jalen Johnson,Atlanta Hawks,2001-12-18,23,8581,680.0,4510905
wallake01,Keaton Wallace,Atlanta Hawks,1999-02-26,26,9607,168.0,0
bufkiko01,Kobe Bufkin,Atlanta Hawks,2003-09-21,21,7939,53.0,4299000
nancela02,Larry Nance Jr.,Atlanta Hawks,1993-01-01,32,11854,203.0,11205000
gueyemo02,Mouhamed Gueye,Atlanta Hawks,2002-11-09,22,8255,197.0,1891857
okongon01,Onyeka Okongwu,Atlanta Hawks,2000-12-11,24,8953,988.0,14000000
mannte01,Terance Mann,Atlanta Hawks,1996-10-18,28,10468,294.0,11423077
youngtr01,Trae Young,Atlanta Hawks,1998-09-19,26,9767,1841.0,43031940
krejcvi01,Vit Krejci,Atlanta Hawks,2000-06-19,24,9128,412.0,2162606
risacza01,Zaccharie Risacher,Atlanta Hawks,2005-04-08,20,7374,942.0,12569040
horfoal01,Al Horford,Boston Celtics,1986-06-03,39,14258,538.0,9500000
scheiba01,Baylor Scheierman,Boston Celtics,2000-09-26,24,9029,113.0,2494320
whitede01,Derrick White,Boston Celtics,1994-07-02,30,11307,1248.0,20071429
peterdr01,Drew Peterson,Boston Celtics,1999-11-09,25,9351,54.0,0
davisjd01,JD Davison,Boston Celtics,2002-10-03,22,8292,33.0,11997
brownja02,Jaylen Brown,Boston Celtics,1996-10-24,28,10462,1398.0,49205800
tatumja01,Jayson Tatum,Boston Celtics,1998-03-03,27,9967,1932.0,34848340
walshjo01,Jordan Walsh,Boston Celtics,2004-03-03,21,7775,82.0,1891857
holidjr01,Jrue Holiday,Boston Celtics,1990-06-12,35,12788,686.0,30000000
porzikr01,Kristaps PorziÅÄ£is,Boston Celtics,1995-08-02,29,10911,,29268293
kornelu01,Luke Kornet,Boston Celtics,1995-07-15,29,10929,441.0,2087519
norrimi01,Miles Norris,Boston Celtics,2000-04-15,25,9193,7.0,0
quetane01,Neemias Queta,Boston Celtics,1999-07-13,25,9470,310.0,2162606
pritcpa01,Payton Pritchard,Boston Celtics,1998-01-28,27,10001,1144.0,6696429
hausesa01,Sam Hauser,Boston Celtics,1997-12-08,27,10052,605.0,2092344
craigto01,Torrey Craig,Boston Celtics,1990-12-19,34,12598,46.0,779820
tillmxa01,Xavier Tillman Sr.,Boston Celtics,1999-01-12,26,9652,34.0,2237691
thomaca02,Cam Thomas,Brooklyn Nets,2001-10-13,23,8647,599.0,4041249
johnsca02,Cameron Johnson,Brooklyn Nets,1996-03-03,29,10697,1070.0,22500000
russeda01,D'Angelo Russell,Brooklyn Nets,1996-02-23,29,10706,373.0,18692307
whiteda01,Dariq Whitehead,Brooklyn Nets,2004-08-01,20,7624,114.0,3114240
sharpda01,Day'Ron Sharpe,Brooklyn Nets,2001-11-06,23,8623,397.0,3989122
meltode01,De'Anthony Melton,Brooklyn Nets,1998-05-28,27,9881,,12822000
timmedr01,Drew Timme,Brooklyn Nets,2000-09-09,24,9046,109.0,113055
wilsoja03,Jalen Wilson,Brooklyn Nets,2000-11-04,24,8990,749.0,1891857
johnske07,Keon Johnson,Brooklyn Nets,2002-03-10,23,8499,839.0,2162606
lewisma05,Maxwell Lewis,Brooklyn Nets,2002-07-27,22,8360,112.0,1891857
claxtni01,Nic Claxton,Brooklyn Nets,1999-04-17,26,9557,724.0,27556817
clownno01,Noah Clowney,Brooklyn Nets,2004-07-14,20,7642,420.0,3244080
beekmre01,Reece Beekman,Brooklyn Nets,2001-10-08,23,8652,91.0,0
evbuoto01,Tosan Evbuomwan,Brooklyn Nets,2001-02-16,24,8886,267.0,0
watfotr01,Trendon Watford,Brooklyn Nets,2000-11-09,24,8985,450.0,2726603
martity01,Tyrese Martin,Brooklyn Nets,1999-03-07,26,9598,523.0,635853
etienty01,Tyson Etienne,Brooklyn Nets,1999-09-17,25,9404,55.0,0
willizi02,Ziaire Williams,Brooklyn Nets,2001-09-12,23,8678,632.0,6133005
dosunay01,Ayo Dosunmu,Chicago Bulls,2000-01-17,25,9282,566.0,7000000
whiteco01,Coby White,Chicago Bulls,2000-02-16,25,9252,1509.0,12000000
terryda01,Dalen Terry,Chicago Bulls,2002-07-12,22,8375,326.0,3510480
liddeej01,E.J. Liddell,Chicago Bulls,2000-12-18,24,8946,21.0,0
milleem01,Emanuel Miller,Chicago Bulls,2000-06-19,24,9128,10.0,0
youngja05,Jahmir Young,Chicago Bulls,2000-10-07,24,9018,11.0,0
smithja04,Jalen Smith,Chicago Bulls,2000-03-16,25,9223,524.0,8571429
carteje01,Jevon Carter,Chicago Bulls,1995-09-14,29,10868,153.0,6500000
giddejo01,Josh Giddey,Chicago Bulls,2002-10-10,22,8285,1022.0,8352367
phillju01,Julian Phillips,Chicago Bulls,2003-11-05,21,7894,366.0,1891857
huertke01,Kevin Huerter,Chicago Bulls,1998-08-27,26,9790,343.0,16830357
balllo01,Lonzo Ball,Chicago Bulls,1997-10-27,27,10094,267.0,21395348
buzelma01,Matas Buzelis,Chicago Bulls,2004-10-13,20,7551,688.0,5195520
vucevni01,Nikola VuÄeviÄ,Chicago Bulls,1990-10-24,34,12654,,20000000
willipa01,Patrick Williams,Chicago Bulls,2001-08-26,23,8695,566.0,18000000
hortota01,Talen Horton-Tucker,Chicago Bulls,2000-11-25,24,8969,379.0,2087519
jonestr01,Tre Jones,Chicago Bulls,2000-01-08,25,9291,207.0,9104167
colliza01,Zach Collins,Chicago Bulls,1997-11-19,27,10071,240.0,16741200
okekech01,Chuma Okeke,Cleveland Cavaliers,1998-08-18,26,9799,5.0,115743
portecr01,Craig Porter Jr.,Cleveland Cavaliers,2000-02-26,25,9242,188.0,1891857
garlada01,Darius Garland,Cleveland Cavaliers,2000-01-26,25,9273,1544.0,36725670
huntede01,De'Andre Hunter,Cleveland Cavaliers,1997-12-02,27,10058,386.0,21696429
wadede01,Dean Wade,Cleveland Cavaliers,1996-11-20,28,10435,320.0,6166667
mitchdo01,Donovan Mitchell,Cleveland Cavaliers,1996-09-07,28,10509,1701.0,35410310
batesem01,Emoni Bates,Cleveland Cavaliers,2004-01-28,21,7810,37.0,0
mobleev01,Evan Mobley,Cleveland Cavaliers,2001-06-18,23,8764,1316.0,11227657
okorois01,Isaac Okoro,Cleveland Cavaliers,2001-01-26,24,8907,337.0,10185186
allenja01,Jarrett Allen,Cleveland Cavaliers,1998-04-21,27,9918,1103.0,20000000
greenja02,Javonte Green,Cleveland Cavaliers,1993-07-23,31,11651,59.0,599862
tysonja01,Jaylon Tyson,Cleveland Cavaliers,2002-12-02,22,8232,167.0,3326160
travelu01,Luke Travers,Cleveland Cavaliers,2001-09-03,23,8687,12.0,0
strusma01,Max Strus,Cleveland Cavaliers,1996-03-28,29,10672,471.0,15212068
tomlina01,Nae'Qwan Tomlin,Cleveland Cavaliers,2000-12-10,24,8954,36.0,66503
merrisa01,Sam Merrill,Cleveland Cavaliers,1996-05-15,29,10624,509.0,2164993
thomptr01,Tristan Thompson,Cleveland Cavaliers,1991-03-13,34,12514,69.0,2087519
jeromty01,Ty Jerome,Cleveland Cavaliers,1997-07-08,27,10205,878.0,2560975
davisan02,Anthony Davis,Dallas Mavericks,1993-03-11,32,11785,180.0,43219440
willibr03,Brandon Williams,Dallas Mavericks,1999-11-22,25,9338,275.0,47989
martica02,Caleb Martin,Dallas Mavericks,1995-09-28,29,10854,75.0,9186594
gaffoda01,Daniel Gafford,Dallas Mavericks,1998-10-01,26,9755,701.0,13394160
exumda01,Dante Exum,Dallas Mavericks,1995-07-13,29,10931,174.0,3150000
livelde01,Dereck Lively II,Dallas Mavericks,2004-02-12,21,7795,314.0,5014560
poweldw01,Dwight Powell,Dallas Mavericks,1991-07-20,33,12385,114.0,4000000
hardyja02,Jaden Hardy,Dallas Mavericks,2002-07-05,22,8382,496.0,2019699
joneska01,Kai Jones,Dallas Mavericks,2001-01-19,24,8914,137.0,0
edwarke02,Kessler Edwards,Dallas Mavericks,2000-08-09,24,9077,168.0,0
thompkl01,Klay Thompson,Dallas Mavericks,1990-02-08,35,12912,1005.0,15873016
irvinky01,Kyrie Irving,Dallas Mavericks,1992-03-23,33,12138,1234.0,41000000
chrisma02,Max Christie,Dallas Mavericks,2003-02-10,22,8162,359.0,7142857
marshna01,Naji Marshall,Dallas Mavericks,1998-01-24,27,10005,914.0,8571429
prospol01,Olivier-Maxence Prosper,Dallas Mavericks,2002-07-03,22,8384,201.0,2870400
washipj01,P.J. Washington,Dallas Mavericks,1998-08-23,26,9794,836.0,15500000
dinwisp01,Spencer Dinwiddie,Dallas Mavericks,1993-04-06,32,11759,872.0,2087519
gordoaa01,Aaron Gordon,Denver Nuggets,1995-09-16,29,10866,748.0,22841455
braunch01,Christian Braun,Denver Nuggets,2001-04-17,24,8826,1218.0,3089640
holmeda01,DaRon Holmes,Denver Nuggets,2002-08-15,22,8341,,3065640
saricda01,Dario Å ariÄ,Denver Nuggets,1994-04-08,31,11392,,5168000
jordade01,DeAndre Jordan,Denver Nuggets,1988-07-21,36,13479,209.0,2087519
tysonhu01,Hunter Tyson,Denver Nuggets,2000-06-13,25,9134,134.0,1891857
pickeja02,Jalen Pickett,Denver Nuggets,1999-10-22,25,9369,200.0,1891857
murraja01,Jamal Murray,Denver Nuggets,1997-02-23,28,10340,1436.0,36016200
strawju01,Julian Strawther,Denver Nuggets,2002-04-18,23,8460,588.0,2552520
portemi01,Michael Porter Jr.,Denver Nuggets,1998-06-29,26,9849,1398.0,35859950
jokicni01,Nikola JokiÄ,Denver Nuggets,1995-02-19,30,11075,,51415938
hallpj01,PJ Hall,Denver Nuggets,2002-02-21,23,8516,33.0,0
watsope01,Peyton Watson,Denver Nuggets,2002-09-11,22,8314,551.0,2413560
westbru01,Russell Westbrook,Denver Nuggets,1988-11-12,36,13365,994.0,3303771
jonessp01,Spencer Jones,Denver Nuggets,2001-06-14,24,8768,26.0,0
alexatr01,Trey Alexander,Denver Nuggets,2003-05-02,22,8081,32.0,0
cancavl01,Vlatko ÄanÄar,Denver Nuggets,1997-04-10,28,10294,,2087519
nnajize01,Zeke Nnaji,Denver Nuggets,2001-01-09,24,8924,184.0,8888889
thompau01,Ausar Thompson,Detroit Pistons,2003-01-30,22,8173,594.0,8376000
klintbo01,Bobi Klintman,Detroit Pistons,2003-03-06,22,8138,15.0,1257153
cunnica01,Cade Cunningham,Detroit Pistons,2001-09-25,23,8665,1830.0,13940809
jenkida01,Daniss Jenkins,Detroit Pistons,2001-08-17,23,8704,7.0,0
schrode01,Dennis SchrÃ¶der,Detroit Pistons,1993-09-15,31,11597,,13025250
stewais01,Isaiah Stewart,Detroit Pistons,2001-05-22,24,8791,435.0,15000000
iveyja01,Jaden Ivey,Detroit Pistons,2002-02-13,23,8524,528.0,7977240
durenja01,Jalen Duren,Detroit Pistons,2003-11-18,21,7881,918.0,4536840
waterli01,Lindy Waters III,Detroit Pistons,1997-07-28,27,10185,47.0,2196970
beaslma01,Malik Beasley,Detroit Pistons,1996-11-26,28,10429,1336.0,6000000
sassema01,Marcus Sasser,Detroit Pistons,2000-09-21,24,9034,375.0,2755080
reedpa01,Paul Reed,Detroit Pistons,1999-06-14,26,9499,184.0,3913234
harpero02,Ron Harper Jr.,Detroit Pistons,2000-04-12,25,9196,4.0,0
hollaro01,Ron Holland,Detroit Pistons,2005-07-07,19,7284,522.0,8245320
fontesi01,Simone Fontecchio,Detroit Pistons,1995-12-09,29,10782,446.0,7692308
hardati02,Tim Hardaway Jr.,Detroit Pistons,1992-03-16,33,12145,844.0,16193183
harrito02,Tobias Harris,Detroit Pistons,1992-07-15,32,12024,1002.0,25365854
smithto05,Tolu Smith,Detroit Pistons,2000-07-26,24,9091,14.0,0
podzibr01,Brandin Podziemski,Golden State Warriors,2003-02-25,22,8147,747.0,3519960
keybr01,Braxton Key,Golden State Warriors,1997-02-14,28,10349,3.0,11997
hieldbu01,Buddy Hield,Golden State Warriors,1992-12-17,32,11869,912.0,8780488
greendr01,Draymond Green,Golden State Warriors,1990-03-04,35,12888,613.0,24107143
paytoga02,Gary Payton II,Golden State Warriors,1992-12-01,32,11885,400.0,9130000
santogu01,Gui Santos,Golden State Warriors,2002-06-22,22,8395,227.0,1891857
roweja01,Jackson Rowe,Golden State Warriors,1997-01-04,28,10390,22.0,0
butleji01,Jimmy Butler,Golden State Warriors,1989-09-14,35,13059,538.0,48798677
kuminjo01,Jonathan Kuminga,Golden State Warriors,2002-10-06,22,8289,719.0,7636307
knoxke01,Kevin Knox,Golden State Warriors,1999-08-11,25,9441,46.0,503883
looneke01,Kevon Looney,Golden State Warriors,1996-02-06,29,10723,344.0,8000000
moodymo01,Moses Moody,Golden State Warriors,2002-05-31,23,8417,724.0,5803269
spencpa01,Pat Spencer,Golden State Warriors,1996-07-04,28,10574,98.0,438810
postqu01,Quinten Post,Golden State Warriors,2000-03-21,25,9218,340.0,438920
curryst01,Stephen Curry,Golden State Warriors,1988-03-14,37,13608,1718.0,55761216
armstta02,Taran Armstrong,Golden State Warriors,2002-01-15,23,8553,,0
jackstr02,Trayce Jackson-Davis,Golden State Warriors,2000-02-22,25,9246,407.0,1891857
holidaa01,Aaron Holiday,Houston Rockets,1996-09-30,28,10486,340.0,4668000
sengual01,Alperen ÅengÃ¼n,Houston Rockets,2002-07-25,22,8362,,5424654
thompam01,Amen Thompson,Houston Rockets,2003-01-30,22,8173,970.0,9249960
whitmca01,Cam Whitmore,Houston Rockets,2004-07-08,20,7648,477.0,3379080
roddyda01,David Roddy,Houston Rockets,2001-03-27,24,8847,13.0,0
brookdi01,Dillon Brooks,Houston Rockets,1996-01-22,29,10738,1053.0,22255493
vanvlfr01,Fred VanVleet,Houston Rockets,1994-02-25,31,11434,844.0,42846615
smithja05,Jabari Smith Jr.,Houston Rockets,2003-05-13,22,8070,698.0,9770880
mcveija01,Jack McVeigh,Houston Rockets,1996-06-27,28,10581,14.0,0
tateja01,Jae'Sean Tate,Houston Rockets,1995-10-28,29,10824,188.0,7565217
greenja05,Jalen Green,Houston Rockets,2002-02-09,23,8528,1723.0,12483048
willije02,Jeenathan Williams,Houston Rockets,1999-02-12,26,9621,65.0,515881
greenje02,Jeff Green,Houston Rockets,1986-08-28,38,14172,172.0,8000000
landajo01,Jock Landale,Houston Rockets,1995-10-25,29,10827,200.0,8000000
nfalyda01,N'Faly Dante,Houston Rockets,2001-10-19,23,8641,24.0,0
sheppre01,Reed Sheppard,Houston Rockets,2004-06-24,20,7662,229.0,10098960
adamsst01,Steven Adams,Houston Rockets,1993-07-20,31,11654,225.0,12600000
easonta01,Tari Eason,Houston Rockets,2001-05-10,24,8803,686.0,3695160
nesmiaa01,Aaron Nesmith,Indiana Pacers,1999-10-16,25,9375,541.0,11000000
nembhan01,Andrew Nembhard,Indiana Pacers,2000-01-16,25,9283,653.0,2019699
sheppbe01,Ben Sheppard,Indiana Pacers,2001-07-16,23,8736,332.0,2663880
mathube01,Bennedict Mathurin,Indiana Pacers,2002-06-19,22,8398,1156.0,7245720
freemen01,Enrique Freeman,Indiana Pacers,2000-07-29,24,9088,46.0,0
jacksis01,Isaiah Jackson,Indiana Pacers,2002-01-10,23,8558,35.0,4435381
johnsja01,James Johnson,Indiana Pacers,1987-02-20,38,13996,8.0,2087519
walkeja02,Jarace Walker,Indiana Pacers,2003-09-04,21,7956,461.0,6362520
furphjo01,Johnny Furphy,Indiana Pacers,2004-12-08,20,7495,103.0,1850842
turnemy01,Myles Turner,Indiana Pacers,1996-03-24,29,10676,1120.0,19928500
toppiob01,Obi Toppin,Indiana Pacers,1998-03-04,27,9966,833.0,12975000
siakapa01,Pascal Siakam,Indiana Pacers,1994-04-02,31,11398,1578.0,42176400
jacksqu01,Quenton Jackson,Indiana Pacers,1998-09-15,26,9771,162.0,0
dennira01,RayJ Dennis,Indiana Pacers,2001-03-30,24,8844,30.0,0
mccontj01,T.J. McConnell,Indiana Pacers,1992-03-25,33,12136,720.0,9300000
bryanth01,Thomas Bryant,Indiana Pacers,1997-07-31,27,10182,388.0,2087519
bradlto01,Tony Bradley,Indiana Pacers,1998-01-08,27,10021,61.0,600545
halibty01,Tyrese Haliburton,Indiana Pacers,2000-02-29,25,9239,1359.0,42176400
coffeam01,Amir Coffey,Los Angeles Clippers,1997-06-17,27,10226,696.0,3938271
simmobe01,Ben Simmons,Los Angeles Clippers,1996-07-20,28,10558,52.0,755826
bogdabo01,Bogdan BogdanoviÄ,Los Angeles Clippers,1992-08-18,32,11990,,17260000
chrisca02,Cam Christie,Los Angeles Clippers,2005-07-24,19,7267,18.0,1157153
jonesde02,Derrick Jones Jr.,Los Angeles Clippers,1997-02-15,28,10348,781.0,9523810
eubandr01,Drew Eubanks,Los Angeles Clippers,1997-02-01,28,10362,65.0,5000000
zubaciv01,Ivica Zubac,Los Angeles Clippers,1997-03-18,28,10317,1340.0,11743210
hardeja01,James Harden,Los Angeles Clippers,1989-08-26,35,13078,1802.0,33653846
millejo02,Jordan Miller,Los Angeles Clippers,2000-01-23,25,9276,152.0,1050000
leonaka01,Kawhi Leonard,Los Angeles Clippers,1991-06-29,33,12406,796.0,49205800
brownko01,Kobe Brown,Los Angeles Clippers,2000-01-01,25,9298,77.0,2533920
dunnkr01,Kris Dunn,Los Angeles Clippers,1994-03-18,31,11413,474.0,5168000
batumni01,Nicolas Batum,Los Angeles Clippers,1988-12-14,36,13333,313.0,4668000
powelno01,Norman Powell,Los Angeles Clippers,1993-05-25,32,11710,1306.0,19241379
baldwpa01,Patrick Baldwin Jr.,Los Angeles Clippers,2002-11-18,22,8246,6.0,0
millspa02,Patty Mills,Los Angeles Clippers,1988-08-11,36,13458,37.0,2087519
lundyse01,Seth Lundy,Los Angeles Clippers,2000-04-02,25,9206,,0
flowetr01,Trentyn Flowers,Los Angeles Clippers,2005-03-08,20,7405,11.0,0
lenal01,Alex Len,Los Angeles Lakers,1993-06-16,32,11688,22.0,743829
reaveau01,Austin Reaves,Los Angeles Lakers,1998-05-29,27,9880,1475.0,12976362
jamesbr02,Bronny James,Los Angeles Lakers,2004-10-06,20,7558,62.0,1157153
kolokch01,Christian Koloko,Los Angeles Lakers,2000-06-20,24,9127,90.0,0
knechda01,Dalton Knecht,Los Angeles Lakers,2001-04-19,24,8824,706.0,3819120
finnedo01,Dorian Finney-Smith,Los Angeles Lakers,1993-05-04,32,11731,341.0,14924167
vincega01,Gabe Vincent,Los Angeles Lakers,1996-06-14,29,10594,460.0,11000000
vandeja01,Jarred Vanderbilt,Los Angeles Lakers,1999-04-03,26,9571,147.0,10714286
hayesja02,Jaxson Hayes,Los Angeles Lakers,2000-05-23,25,9155,383.0,2463946
goodwjo01,Jordan Goodwin,Los Angeles Lakers,1998-10-23,26,9733,161.0,223718
jamesle01,LeBron James,Los Angeles Lakers,1984-12-30,40,14778,1710.0,48728845
doncilu01,Luka DonÄiÄ,Los Angeles Lakers,1999-02-28,26,9605,,43031940
morrima02,Markieff Morris,Los Angeles Lakers,1989-09-02,35,13071,44.0,2087519
klebima01,Maxi Kleber,Los Angeles Lakers,1992-01-29,33,12192,,11000000
hachiru01,Rui Hachimura,Los Angeles Lakers,1998-02-08,27,9990,775.0,17000000
miltosh01,Shake Milton,Los Angeles Lakers,1996-09-26,28,10490,116.0,2875000
jemistr01,Trey Jemison,Los Angeles Lakers,1999-11-28,25,9332,57.0,0
clarkbr01,Brandon Clarke,Memphis Grizzlies,1996-09-19,28,10497,534.0,12500000
spencca01,Cam Spencer,Memphis Grizzlies,2000-04-06,25,9202,106.0,0
banede01,Desmond Bane,Memphis Grizzlies,1998-06-25,26,9853,1327.0,34005250
jacksgg01,GG Jackson II,Memphis Grizzlies,2004-12-17,20,7486,209.0,1891857
moranja01,Ja Morant,Memphis Grizzlies,1999-08-10,25,9442,1159.0,36725670
jacksja02,Jaren Jackson Jr.,Memphis Grizzlies,1999-09-15,25,9406,1641.0,25257798
huffja01,Jay Huff,Memphis Grizzlies,1998-08-25,26,9792,439.0,2088033
wellsja01,Jaylen Wells,Memphis Grizzlies,2003-08-26,21,7965,823.0,1157153
konchjo01,John Konchar,Memphis Grizzlies,1996-03-22,29,10678,112.0,6165000
stevela01,Lamar Stevens,Memphis Grizzlies,1997-07-09,27,10204,74.0,623856
kennalu01,Luke Kennard,Memphis Grizzlies,1996-06-24,28,10584,576.0,9250000
baglema01,Marvin Bagley III,Memphis Grizzlies,1999-03-14,26,9591,43.0,12500000
aldamsa01,Santi Aldama,Memphis Grizzlies,2001-01-10,24,8923,811.0,3960531
pippesc02,Scotty Pippen Jr.,Memphis Grizzlies,2000-11-10,24,8984,779.0,2087519
willivi01,Vince Williams Jr.,Memphis Grizzlies,2000-08-30,24,9056,179.0,2120693
kawamyu01,Yuki Kawamura,Memphis Grizzlies,2001-05-02,24,8811,36.0,0
edeyza01,Zach Edey,Memphis Grizzlies,2002-05-14,23,8434,610.0,5756880
pullizy01,Zyon Pullin,Memphis Grizzlies,2001-03-03,24,8871,0.0,0
burksal01,Alec Burks,Miami Heat,1991-07-20,33,12385,356.0,2087519
wiggian01,Andrew Wiggins,Miami Heat,1995-02-23,30,11071,323.0,26276786
adebaba01,Bam Adebayo,Miami Heat,1997-07-18,27,10195,1410.0,34848340
mitchda01,Davion Mitchell,Miami Heat,1998-09-05,26,9781,309.0,6451077
smithdr01,Dru Smith,Miami Heat,1997-12-30,27,10030,87.0,0
robindu01,Duncan Robinson,Miami Heat,1994-04-22,31,11378,817.0,19406000
highsha01,Haywood Highsmith,Miami Heat,1996-12-09,28,10416,478.0,5200000
steveis01,Isaiah Stevens,Miami Heat,2000-11-01,24,8993,0.0,0
jaqueja01,Jaime Jaquez Jr.,Miami Heat,2001-02-18,24,8884,570.0,3685800
chrisjo01,Josh Christopher,Miami Heat,2001-12-08,23,8591,28.0,0
wareke01,Kel'el Ware,Miami Heat,2004-04-20,21,7727,595.0,4231800
johnske10,Keshad Johnson,Miami Heat,2001-06-23,23,8759,43.0,724883
